Serial  Exact_Count  Global_Count  Error
0  0  0  5.56984e-309
1  6  0  5.56992e-309
2  25  0  5.57011e-309
3  32  0  5.57045e-309
4  38  0  5.57085e-309
5  52  0  5.57094e-309
6  66  0  5.57147e-309
7  80  0  5.57151e-309
8  87  0  5.57194e-309
9  96  0  5.572e-309
10  125  0  5.57213e-309
11  143  0  5.57251e-309
12  148  0  5.57259e-309
13  172  0  5.57272e-309
14  217  300  5.57285e-309
15  253  400  5.57312e-309
16  273  400  5.57325e-309
17  283  400  5.57366e-309
18  302  400  5.57368e-309
19  318  400  5.57374e-309
20  357  400  5.57389e-309
21  391  400  5.57391e-309
22  405  400  5.57419e-309
23  557  700  5.57442e-309
24  608  700  5.57461e-309
25  644  700  5.57523e-309
26  659  700  5.57525e-309
27  693  700  5.57584e-309
28  717  800  5.57633e-309
29  756  800  5.57637e-309
30  798  800  5.57644e-309
31  885  1000  5.5765e-309
32  1005  1100  5.57654e-309
33  1037  1100  5.57663e-309
34  1072  1200  5.57699e-309
35  1142  1200  5.57705e-309
36  1244  1200  5.57707e-309
37  1305  1200  5.57728e-309
38  1370  1400  5.57737e-309
39  1417  1600  5.57743e-309
40  1479  1600  5.57747e-309
41  1521  1600  5.57747e-309
42  1572  1600  5.57747e-309
43  1627  1600  5.5776e-309
44  1677  1600  5.57771e-309
45  1728  1600  5.57786e-309
46  1776  1600  5.57788e-309
47  1818  1600  5.57858e-309
48  1885  1600  5.57864e-309
49  1928  1600  5.57917e-309
50  1995  1600  5.57953e-309
51  2043  1600  5.57962e-309
52  2092  1600  5.57966e-309
53  2163  1600  5.58025e-309
54  2268  1700  5.58076e-309
55  2339  1800  5.58159e-309
56  2441  1800  5.58183e-309
57  2506  1800  5.58185e-309
58  2575  1900  5.58193e-309
59  2685  1900  5.58206e-309
60  2747  1900  5.58223e-309
61  2802  2000  5.5824e-309
62  2885  2000  5.58272e-309
63  2937  2000  5.58282e-309
64  3024  2200  5.58293e-309
65  3102  2200  5.58314e-309
66  3178  2300  5.58361e-309
67  3284  2400  5.58467e-309
68  3417  2400  5.58482e-309
69  3487  2500  5.58526e-309
70  3564  2500  5.58554e-309
71  3697  2600  5.58609e-309
72  3767  2600  5.58671e-309
73  3849  2700  5.58711e-309
74  3939  3000  5.58734e-309
75  4033  3000  5.58738e-309
76  4130  3200  5.58779e-309
77  4222  3200  5.58792e-309
78  4345  3400  5.58792e-309
79  4418  3500  5.58836e-309
80  4528  3600  5.5884e-309
81  4624  3700  5.58857e-309
82  4737  4400  5.58885e-309
83  4848  4600  5.58917e-309
84  4926  4600  5.58953e-309
85  5073  4600  5.58999e-309
