Serial  Exact_Count  Global_Count  Error
0  0  0  nan
1  6  6  0
2  25  25  0
3  32  32  0
4  38  38  0
5  52  52  0
6  66  66  0
7  80  80  0
8  87  87  0
9  96  96  0
10  125  125  0
11  143  143  0
12  148  148  0
13  172  172  0
14  217  217  0
15  253  253  0
16  273  273  0
17  283  283  0
18  302  302  0
19  318  318  0
20  357  357  0
21  391  391  0
22  405  405  0
23  557  557  0
24  608  608  0
25  644  644  0
26  659  659  0
27  693  693  0
28  717  717  0
29  756  756  0
30  798  798  0
31  885  885  0
32  1005  1005  0
33  1037  1037  0
34  1072  1072  0
35  1142  1142  0
36  1244  1244  0
37  1305  1305  0
38  1370  1370  0
39  1417  1417  0
40  1479  1479  0
41  1521  1521  0
42  1572  1572  0
43  1627  1627  0
44  1677  1677  0
45  1728  1728  0
46  1776  1776  0
47  1818  1818  0
48  1885  1885  0
49  1928  1928  0
50  1995  1995  0
51  2043  2043  0
52  2092  2092  0
53  2163  2163  0
54  2268  2268  0
55  2339  2339  0
56  2441  2441  0
57  2506  2506  0
58  2575  2575  0
59  2685  2685  0
60  2747  2747  0
61  2802  2802  0
62  2885  2885  0
63  2937  2937  0
64  3024  3024  0
65  3102  3102.29  0.00943373
66  3178  3179.26  0.0396206
67  3284  3281.5  0.0761245
68  3417  3396.65  0.595649
69  3487  3465.57  0.614661
70  3564  3540.86  0.649377
71  3697  3671.69  0.684575
72  3767  3748.51  0.490746
73  3849  3831.54  0.453741
74  3939  3927.27  0.297916
75  4033  4014.61  0.455969
76  4130  4099.04  0.749564
77  4222  4194.05  0.661962
78  4345  4328.81  0.372549
79  4418  4390.74  0.617116
80  4528  4472.23  1.23175
81  4624  4586.9  0.80223
82  4737  4683.75  1.12413
83  4848  4810.35  0.776537
84  4926  4882.07  0.8919
85  5073  5013.07  1.18137
86  5190  5131.38  1.12945
87  5292  5248.9  0.814369
88  5370  5339.84  0.561573
89  5499  5453.71  0.82364
90  5685  5612.22  1.28028
91  5835  5731.01  1.78214
92  5977  5848.63  2.14774
93  6143  6015.55  2.07469
94  6400  6302.77  1.51916
95  6513  6432.25  1.23987
96  6636  6545.05  1.37057
97  6792  6671.3  1.77712
98  6879  6763.91  1.67307
99  7025  6915.72  1.55559
100  7185  7063.84  1.68629
101  7326  7217.43  1.48204
102  7448  7356.72  1.22561
103  7565  7518.95  0.608724
104  7699  7625.84  0.950284
105  7850  7773.99  0.968281
106  7983  7879.46  1.29697
107  8176  8032.67  1.75301
108  8270  8153.13  1.41317
109  8399  8239.78  1.89565
110  8581  8416.17  1.9209
111  8792  8610.12  2.06867
112  8920  8748.35  1.92436
113  9081  8874.25  2.27668
114  9237  9017.65  2.37464
115  9400  9238.4  1.71915
116  9559  9415.34  1.5029
117  9734  9633.49  1.03252
118  9960  9930.79  0.293316
119  10109  10070.5  0.380658
120  10268  10242.8  0.245392
121  10442  10407.7  0.328162
122  10608  10554.6  0.503052
123  10758  10689.4  0.637951
124  10957  10884.3  0.663266
125  11070  10975.9  0.849746
126  11302  11221.7  0.710688
