Serial  Exact_Count  Global_Count  Error
0  0  0  nan
1  6  6  0
2  25  25  0
3  32  32  0
4  38  38  0
5  52  52  0
6  66  66  0
7  80  80  0
8  87  87  0
9  96  96  0
10  125  125  0
11  143  143  0
12  148  148  0
13  172  172  0
14  217  217  0
15  253  253  0
16  273  273  0
17  283  283  0
18  302  302  0
19  318  318  0
20  357  357  0
21  391  391  0
22  405  405  0
23  557  557  0
24  608  608  0
25  644  644  0
26  659  659  0
27  693  693  0
28  717  717  0
29  756  756  0
30  798  798  0
31  885  885  0
32  1005  1005  0
33  1037  1037  0
34  1072  1072  0
35  1142  1142  0
36  1244  1244  0
37  1305  1305  0
38  1370  1370  0
39  1417  1417  0
40  1479  1479  0
41  1521  1521  0
42  1572  1572  0
43  1627  1627  0
44  1677  1677  0
45  1728  1728  0
46  1776  1776  0
47  1818  1818  0
48  1885  1885  0
49  1928  1928  0
50  1995  1995  0
51  2043  2043  0
52  2092  2092  0
53  2163  2163  0
54  2268  2268  0
55  2339  2339  0
56  2441  2441  0
57  2506  2506  0
58  2575  2575  0
59  2685  2685  0
60  2747  2747  0
61  2802  2802  0
62  2885  2885  0
63  2937  2937  0
64  3024  3024  0
65  3102  3102.44  0.0142428
66  3178  3176.26  0.0547313
67  3284  3285.09  0.0330857
68  3417  3420.4  0.0994163
69  3487  3491.27  0.122466
70  3564  3574.81  0.303326
71  3697  3667.92  0.786667
72  3767  3744.64  0.593678
73  3849  3830.77  0.473635
74  3939  3905.72  0.844962
75  4033  4003.23  0.738172
76  4130  4087.38  1.03206
77  4222  4186.46  0.841856
78  4345  4292.98  1.19719
79  4418  4364.32  1.21493
80  4528  4492.55  0.782912
81  4624  4586.88  0.802686
82  4737  4694.76  0.891737
83  4848  4781.57  1.37027
84  4926  4867.47  1.18819
85  5073  5027.31  0.900712
86  5190  5146.82  0.832023
87  5292  5246.46  0.860553
88  5370  5324.94  0.839119
89  5499  5475.73  0.423201
90  5685  5681.62  0.0595262
91  5835  5836.45  0.0248356
92  5977  5945.85  0.52124
93  6143  6044.5  1.60347
94  6400  6323.8  1.19056
95  6513  6472.86  0.616351
96  6636  6562.24  1.11154
97  6792  6697.09  1.39734
98  6879  6825.94  0.771288
99  7025  6916.76  1.54085
100  7185  7021.33  2.27795
101  7326  7199.84  1.72208
102  7448  7287.95  2.14889
103  7565  7418.15  1.94119
104  7699  7527.84  2.22315
105  7850  7682.73  2.13077
106  7983  7811.79  2.14465
107  8176  7996.87  2.19097
108  8270  8073.94  2.37069
109  8399  8205.15  2.30801
110  8581  8363.64  2.53303
111  8792  8565.51  2.57604
112  8920  8702.27  2.44088
113  9081  8868.9  2.33567
114  9237  9013.14  2.42349
115  9400  9182.9  2.30954
116  9559  9385.15  1.81872
117  9734  9477.36  2.63657
118  9960  9743.75  2.17116
119  10109  9852.93  2.53313
120  10268  10014.5  2.4691
121  10442  10186.7  2.44493
122  10608  10363.3  2.30677
123  10758  10497  2.42641
124  10957  10723.2  2.13388
125  11070  10828.4  2.18279
126  11302  11115.6  1.64884
